Title,Budget,Revenue,Rating,Year
Avengers: Endgame,356000000,2797800564,8.4,2019
Joker,55000000,1074251311,8.4,2019
Frozen II,150000000,1450026933,6.9,2019
Parasite,11400000,258000000,8.6,2019
Tenet,205000000,363000000,7.4,2020
1917,95000000,384000000,8.3,2019
The Lion King,260000000,1656943394,6.9,2019
Ford v Ferrari,97600000,225508210,8.1,2019
Knives Out,40000000,311400000,7.9,2019
Cats,95000000,73800000,2.7,2019
